height,weight
174.23957292631312,203.55217285362525
182.11336674483687,192.21044309976728
173.547439975803,204.67333420097347
173.22241987881284,187.0452595663688
186.62839537274473,183.3535842925277
182.76366007276982,193.56831958544657
182.7112907145542,194.73038816250948
185.53798016725924,177.81916209213395
182.7397477634338,191.8230768559502
180.2118409245479,193.53101074297726
173.5925558994957,203.30386911630177
186.96370700415437,184.36974642936272
174.97637116869606,190.55189527298245
176.18305138985224,203.63297480521206
184.67334009788834,184.68230199494207
173.23502735677403,191.86900461251193
173.9850964042508,185.61327556937417
176.3162214760486,202.58011102301566
182.06023187401274,193.57704205636344
187.05534285183433,184.12094919954427
180.3465736795468,192.57097753400282
177.62979938421842,202.2109775252606
186.75387439793428,182.99748947196414
183.85389824578124,180.75612218921646
182.95905741950037,183.29599341317527
174.26738310890727,187.32392774029665
186.12832559626432,184.4197025447938
185.27890716178456,181.93997072676615
185.84116761907197,182.51717853291893
174.65088950434242,190.25141886417487
187.2387152847961,181.5609818637969
183.1792206963841,193.28285164026562
175.92197651080957,206.02537402688571
176.96611677820061,189.56655543902573
178.48008702307988,200.88022227280794
186.3899877544886,195.0498067014434
175.4716726399647,203.0595053760794
184.73142771100993,191.18347156896368
177.66656078423782,188.98795201676455
176.50322743128854,188.83655940717122
183.47105683598502,196.14503168072085
181.09286039178173,192.21084991075406
182.3381192949316,192.5283552982237
175.35645917467357,187.23535428663973
175.0969467492678,201.71497487303606
182.36331943762798,190.32500328050352
183.37751696414557,191.32236420485785
176.76582211589962,203.99800369573373
175.50756212798265,189.23201071378978
181.47478904210502,192.23245378878053
188.1255954670085,182.79676074996354
184.77254073929248,194.63875172960408
182.71488774017,194.63575207190718
175.76323290533603,188.90919755520403
175.8213009319373,201.3989003848355
185.0809613137955,184.76954424485558
180.32049288049384,193.6518135911864
181.07704182093414,192.41169438054405
175.6842382309206,204.37943176447683
177.61608176939907,202.16378134196594
182.58243607043985,183.3353894679583
185.31347809713137,184.43819055490903
175.14174572501767,187.93759952039036
174.41839670415948,190.34106570962896
177.71265196494548,189.42308360209407
179.40205503085716,203.1924057030151
185.03942923772203,191.4994918726653
176.04183831051944,190.62731248739215
175.4040425807037,201.97636657103314
176.15877262193897,203.9513097236735
176.4236040950564,203.35972499396416
176.61898619599114,206.08917932257316
177.56399684736925,203.0601172067596
178.07626005616552,186.48708121211834
182.62376464590926,192.27960275989165
176.59961742398494,201.89619521223912
182.6765430097774,196.5221195780223
177.82905058902426,203.36939612015598
173.49331165281464,189.42091638874751
187.67127074761882,183.34131750833046
181.35199305534485,190.55642597040344
178.84402653030497,193.95715173504973
183.8544446320057,193.47080911353424
178.85860721612195,188.60925662453417
185.43971609861543,183.33821424407503
178.67413465484472,193.8814732213202
181.62777618436837,190.14930981861448
184.6882655890589,193.95978395150132
173.64412387451645,187.87761782291227
175.63034676959415,185.58474183828906
175.22650859039695,203.7465644101346
173.75028076347772,187.3823216821255
172.39150893102655,188.46914575407453
175.01636054698267,203.07535640140281
178.63111363368148,200.1081560180519
174.4281904050354,201.40882745421885
176.7494496531099,189.53440307626016
177.84930289947602,186.87979004567921
183.17672611675457,193.51642201370865
184.2320419516201,193.00564292503577
186.74100960361227,182.46168407271986
176.64248388518794,188.32425040766435
183.91133722819322,194.38689265685161
185.4487379840095,181.65405029544522
182.8659577264755,191.04241238595927
174.4192441352388,188.12901847362255
182.43139236092196,193.06720224837522
179.0402397891941,203.03680395910177
176.58994224358293,188.6488653837682
184.6634320480142,184.320224566075
181.64335477296135,191.80808233794485
